ID,Author,Publication_Date,Title,Source,Volume,Issue,Beginning_Page,Ending_Page,Site_Name,Latitude,Longitude,Start_Date,End_Date,Midpoint_Year,Order,Family,Genus,Species,Common_Name,Adult_Body_Mass_g,Longevity_d,Generation_length_d,Home_Range_km2,Litter_Size,Neonate_Body_Mass_g,Social_Group_Size,Age_Class,Harvest_Status,Monitored,Males_Monitored,Females_Monitored,Mortalities,Known_Mortalities,Total_Harvest,Legal_Harvest,Illegal_Harvest,Vehicle,Poisoning,Agriculture,Train,Fence_Entanglement,Other_Human_Causes,Management,Predation,Disease,Accident_or_Injury,Other_Natural_Causes,Starvation,Weather,Drowning,Other_Animal,Unknown,Grizzly_Bear_Predation,Black_Bear_Predation,Mountain_Lion_Predation,Bobcat_Predation,Wolf_Predation,Coyote_Predation,Wolverine_Predation,Alligator_Predation,Badger_Predation,Domestic_Dog_Predation,Fire_Ants_Predation,Golden_Eagle_Predation,Grey_Fox_Predation,Lynx_Predation,Red_Fox_Predation,Bear_spp_Predation,Eagle_spp_Predation,Felid_spp_Predation,Raptor_spp_Predation,Unknown_Predation,Number_of_Relevant_Predators,Grizzly_Bear_Present,Black_Bear_Present,Mountain_Lion_Present,Bobcat_Present,Wolf_Present,Coyote_Present,Wolverine_Present,Number_of_Ungulates,Number_of_Top_Ungulates,Moose_Present,Elk_Present,Caribou_Present,Mule_Deer_Present,Whitetail_Present,Pronghorn_Present,Bighorn_Present,Number_of_Other_Ungulates_Present,Other_Wild_Ungulates_Present,Human_Footprint_Index,Road_Density,Percent_Forest_Cover,Average_Terrain_Ruggedness
39,Bleich,2017,Ecotypic Variation in Population Dynamics of Reintroduced Bighorn Sheep,The Journal of Wildlife Management,82,1,8,18,Bleich_C,46.72568,-103.48028,2000,2016,2008,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Adult,Legal,220,0,220,55,54,1,0,1,0,1,0,0,0,1,0,18,10,5,18,0,0,0,0,1,0,0,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,1,NA,NA,1,NA,5,5,0,1,0,1,1,1,1,0,NA,3.427860697,0.069757811,0.025137623,38.23093205
42,Blum,2021,Habitat Selection of Female desert bighorn sheep: tradeoffs associated with reproduction,Thesis: University of Nevada Reno,0,0,1,157,Blum_A,38.03,-117.5,2016,2018,2017,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Juvenile,Legal,40,NA,NA,20,12,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,3,2,NA,NA,1,NA,NA,1,NA,4,3,0,0,0,1,0,1,1,1,Feral Horse,2.909611712,0.048254979,0.025401776,120.9499561
61,Cain,2008,Responses of Desert Bighorn Sheep to Removal of Water Sources,Wildlife Monographs,171,1,1,32,Cain_A,32.1916,-113.33148,2002,2005,2004,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Adult,Legal,43,0,37,17,8,0,0,0,0,0,0,0,0,0,0,3,1,4,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,1,NA,NA,1,NA,5,4,0,0,0,1,1,1,1,1,Collared Peccary,1.731890516,0.013000634,0,66.62084171
62,Cain,2019,Survival and Cause-Specific Mortality of Desert Bighorn Sheep Lambs,The Journal of Wildlife Management,83,2,251,259,Cain_B,31.60299,-108.92584,2012,2014,2013,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Juvenile,Legal,26,15,11,14,13,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,0,1,0,0,5,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,NA,NA,1,NA,NA,1,NA,5,4,0,0,0,1,1,1,1,1,Collared Peccary,3.543915479,0.039192789,0.0951494,131.1943338
67,Cassirer,2007,Dynamics of Pneumonia in a Bighorn Sheep Metapopulation,The Journal of Wildlife Management,71,4,1080,1088,Cassirer_A,45.9087,-116.95612,1997,2003,2000,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Adult,Legal,151,39,112,49,49,3,2,1,1,0,0,0,0,0,0,13,21,11,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,1,NA,NA,1,NA,5,5,1,1,0,1,1,0,1,0,NA,1.915148427,0.049617745,0.151796615,320.3606879
82,Daily,2020,"Survival, Social Behavior, And Habitat Selection of Desert Bighorn Sheep at Black Gap Wildlife Management Area, Texas",Thesis: Sul Ross State University,0,0,1,77,Daily_A,29.594604,-102.921865,2017,2019,2018,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Adult,Legal,30,8,22,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,1,NA,NA,1,NA,4,4,0,0,0,1,1,1,1,0,NA,3.608230348,0.0230732,0.011131359,145.788444
84,DeCesare,2002,Movement and resource selection of recolonizing bighorn sheep on western Montana,Thesis: University of Montata,0,0,1,80,DeCesare_A,46.72742,-113.44547,2001,2002,2002,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Adult,Legal,19,5,14,6,6,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,NA,NA,1,NA,NA,1,NA,5,5,1,1,0,1,1,0,1,0,NA,4.462038217,0.14816138,0.421755451,286.8955275
124,Gammons,2021,Predation impedes recovery of Sierra Nevada bighorn sheep,California Fish and Wildlife Special Issue,0,0,444,470,Gammons_A,36.52971,-118.19524,2002,2019,2011,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Adult,Illegal,158,0,158,78,54,0,0,0,0,0,0,0,0,0,0,40,0,10,3,1,0,0,0,24,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,NA,NA,1,NA,NA,1,NA,2,2,0,0,0,1,0,0,1,0,NA,1.290589584,0.031048132,0.197853346,426.5758362
139,Grigg,2017,Assessing timing and causes of neonatal lamb losses in a bighorn sheep herd via use of vaginal implant transmitters,Journal of Wildlife Diseases,53,3,596,601,Grigg_A,39.08539,-106.17883,2013,2013,2013,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Juvenile,Legal,15,NA,NA,15,12,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,1,NA,NA,1,NA,4,4,0,1,0,1,1,0,1,0,NA,3.427735369,0.101069624,0.379468797,303.7101466
201,Jokinen,2008,Evaluating Survival and Demography of a Bighorn Sheep Population,Bienn Symp North Wild Sheep and Goat Counc,16,0,138,159,Jokinen_A,49.47178,-113.97281,2003,2005,2004,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Adult,Legal,30,0,30,11,10,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,NA,NA,1,NA,NA,1,NA,6,5,1,1,0,1,1,0,1,1,Mountain Goat,5.405704826,0.086119478,0.305589713,197.683836
204,Karsch,2016,"Desert Bighorn Sheep Lambing habitat: Parturition, Nursery and Predation Sites",The Journal of Wildlife Management,80,6,1069,1080,Karsch_A,32.01036,-108.9506,2012,2013,2013,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Juvenile,Legal,26,NA,NA,14,12,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,2,0,0,5,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,NA,NA,1,NA,NA,1,NA,4,4,0,0,0,1,1,1,1,0,NA,3.63117677,0.063247033,0.057477661,110.0194515
221,Krausman,1989,Relationships between desert bighorn sheep and habitat in western Arizona,Wildlife Monographs,102,1,3,66,Krausman_A,33.68023,-113.70144,1980,1986,1983,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Adult,Legal,20,6,14,6,6,1,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,1,NA,NA,1,NA,3,3,0,0,0,1,1,0,1,0,NA,3.507970922,0.059757043,0.001145038,84.26424758
222,Krausman,1989,Relationships between desert bighorn sheep and habitat in western Arizona,Wildlife Monographs,102,1,3,66,Krausman_B,33.80813,-113.31212,1980,1986,1983,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Adult,Legal,20,8,12,7,7,0,0,0,0,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,1,NA,NA,1,NA,3,3,0,0,0,1,1,0,1,0,NA,3.655721013,0.080575562,0.002035882,79.23952142
239,Locke,2003,"Habitat use and movements of desert bighorn sheep at Elephant Mountain Wildlife Management Area, Texas",Thesis: Sul Ross State University,0,0,1,121,Locke_A,29.94387,-103.64222,2001,2002,2002,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Adult,Legal,20,10,10,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,1,NA,NA,1,NA,5,5,0,1,0,1,1,1,1,0,NA,2.428844196,0.054987376,0.003776765,91.50415998
249,Majid,2021,"The ecology of predators, parasites and prey: psoroptes ovis mite infestation of California bighorn sheep (Ovis canadensis california) exposed to cougar (Puma concolor) predation in the Okanagan Valley",Thesis: University of British Columbia,0,0,1,103,Majid_A,49.2856,-119.6851,2014,2019,2017,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Adult,Legal,82,NA,NA,38,34,3,3,0,4,0,0,0,0,0,0,23,4,0,0,0,0,0,0,4,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,1,NA,NA,1,NA,5,5,1,1,0,1,1,0,1,0,NA,3.880112116,0.055002437,0.608870408,369.1275015
279,Oehler,2005,Mountain Sheep and Mining: Implications for conservation and management,California Fish and Game,91,3,149,178,Oehler_A,36.5637,-117.1043,1995,1997,1996,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Adult,Illegal,8,0,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,1,NA,NA,1,NA,3,2,0,0,0,1,0,0,1,1,Feral Ass,0.780832379,0.058115451,0,306.3803762
280,Oehler,2005,Mountain Sheep and Mining: Implications for conservation and management,California Fish and Game,91,3,149,178,Oehler_B,37.0934,-117.095,1995,1997,1996,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Adult,Illegal,11,0,11,7,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,1,NA,NA,1,NA,3,2,0,0,0,1,0,0,1,1,Feral Ass,2.061450382,0.050127712,0,207.2142948
288,Parr,2018,Population dynamics of a bighorn sheep herd in the Souther Black Hills of South Dakota and Wyoming,The American Midland Natrualist,179,1,1,14,Parr_A,44.11773,-103.96396,2012,2014,2013,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Adult,Legal,38,8,30,9,4,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,1,NA,NA,1,NA,4,4,0,1,0,1,1,1,0,0,NA,4.75347178,0.144019943,0.537717001,110.4279614
289,Parr,2018,Population dynamics of a bighorn sheep herd in the Souther Black Hills of South Dakota and Wyoming,The American Midland Natrualist,179,1,1,14,Parr_A,44.11773,-103.96396,2012,2014,2013,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Juvenile,Legal,32,18,14,20,19,0,0,0,0,0,0,0,0,0,0,7,0,1,8,3,0,0,0,1,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,NA,NA,1,NA,NA,1,NA,4,4,0,1,0,1,1,1,0,0,NA,4.75347178,0.144019943,0.537717001,110.4279614
290,Parsons,2007,"Cause specific mortality of desert bighorn sheep lambs in the FRA Cristobal Mountains, New Mexico USA",Thesis: University of Montana,0,0,1,93,Parsons_A,33.37138,-107.09514,2001,2002,2002,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Juvenile,Legal,21,8,13,11,11,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,NA,NA,1,NA,NA,1,NA,4,4,0,1,0,1,0,1,1,0,NA,3.577099237,0.071816099,0.027276294,98.71690486
292,Payer,1992,"Habitat Use and Population Characteristics of Bighorn Sheep on Hart Mountain National Antelope Refuge, Oregon",Thesis: Oregon State University,0,0,1,105,Payer_A,42.53849,-119.62923,1990,1991,1991,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Adult,Legal,21,21,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,1,NA,NA,1,NA,3,3,0,0,0,1,0,1,1,0,NA,3.02660387,0.055061758,0.009395109,94.10801656
302,Poole,2016,Rocky Mountain bighorn sheep winter habitat selection and seasonal movements in an area of active coal mining,Canadian Journal of Zoology,94,11,773,745,Poole_A,49.97588,-114.76037,2009,2011,2010,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Adult,Legal,39,20,19,11,11,0,0,0,1,0,0,0,0,0,0,2,0,0,6,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,1,NA,NA,1,NA,6,5,1,1,0,1,1,0,1,1,Mountain Goat,2.921920774,0.046225607,0.652892575,430.4713197
321,Rominger,2004,The Influence of Mountain Lion Predation on Bighorn Sheep Translocations,The Journal of Wildlife Management,68,4,993,999,Rominger_A,34.431396,-107.07896,1992,1993,1993,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Adult,Legal,34,NA,NA,21,16,2,0,2,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,5,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,1,NA,NA,1,NA,4,4,0,1,0,1,0,1,1,0,NA,3.158310003,0.063318852,0.023042648,91.57504692
322,Rominger,2004,The Influence of Mountain Lion Predation on Bighorn Sheep Translocations,The Journal of Wildlife Management,68,4,993,999,Rominger_B,36.552548,-105.417183,1992,1993,1993,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Adult,Legal,32,NA,NA,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,1,NA,NA,1,NA,5,5,0,1,0,1,1,1,1,0,NA,4.346090063,0.074252941,0.456433121,234.9306336
348,Smith,2014,Disease and predation: sorting out causes of a bighorn sheep decline,Plos One,9,2,e888271,0,Smith_E,44.1055,-103.03708,2010,2012,2011,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Juvenile,Legal,74,NA,NA,68,63,0,0,0,1,0,0,0,0,0,0,21,25,0,8,8,0,0,0,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,NA,NA,1,NA,NA,1,NA,6,5,0,1,0,1,1,1,1,1,Mountain Goat,6.881409849,0.213148291,0.171325592,61.03261459
353,Smith,2015,"Survival of female bighorn sheep (Ovis canadensis) in the Black Hills, South Dakota",The American Midland Natrualist,174,2,290,301,Smith_F,43.98869,-103.60522,2010,2013,2012,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Adult,Legal,55,0,55,21,11,0,0,0,1,0,0,0,0,0,0,4,6,0,0,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,1,NA,NA,1,NA,6,5,0,1,0,1,1,1,1,1,Mountain Goat,5.82983327,0.24051687,0.537896915,104.4103215
356,Sproat,2012,Alteration of behavior by desert bighorn sheep from human recreation and desert bighorn sheep survival in Canyonlands National Park: 2002-2010,Thesis: Brigham Young University,0,0,1,31,Sproat_A,38.3268,-109.87755,2002,2011,2007,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Adult,Illegal,58,19,39,9,9,0,0,0,1,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,1,NA,NA,1,NA,3,3,0,1,0,1,0,0,1,0,NA,2.853046138,0.051477617,0.01130164,190.6525337
391,Wehausen,1996,Effects of Mountain Lion Predation on Bighorn Sheep in the Sierra Nevada and Granite Mountains of California,Wildlife Society Bulletin,24,3,471,479,Wehausen_A,35.26881,-116.04344,1976,1988,1982,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Adult,Legal,9,0,9,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,1,NA,NA,1,NA,2,2,0,0,0,1,0,0,1,0,NA,1.485677912,0.054441106,0,134.8405331
392,White,2008,Initial Effects of reintroduced wolves on bighorn sheep dynamics in Yellowstone National Park,Wildlife Biology,14,1,138,146,White_B,44.436976,-110.592412,1995,2005,2000,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Adult,Illegal,18,4,14,11,6,1,0,1,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,1,NA,NA,1,NA,5,5,0,1,0,1,1,1,1,0,NA,0.927825866,0.04091382,0.515779557,191.8293263
403,Wieseler,2021,An evaluation of the bighorn sheep population in Badlands National Park,Thesis: South Dakota State University,0,0,1,92,Wieseler_A,43.8564,-102.3273,2017,2018,2018,Artiodactyla,Cervidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Adult,Illegal,47,0,47,5,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,1,NA,NA,1,NA,5,4,0,0,0,1,1,1,1,1,American Bison,4.43697479,0.071391289,0.010014294,38.45596745
404,Wieseler,2021,An evaluation of the bighorn sheep population in Badlands National Park,Thesis: South Dakota State University,0,0,1,92,Wieseler_A,43.8564,-102.3273,2017,2018,2018,Artiodactyla,Cervidae,Ovis,canadensis,Bighorn sheep,74645,8346,2635,16.2,1,4120,NA,Juvenile,Illegal,53,28,25,18,15,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,3,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,NA,NA,1,NA,NA,1,NA,6,4,0,0,0,1,1,1,1,2,American Bison,4.43697479,0.071391289,0.010014294,38.45596745
1,Adams,1995,"Caribou Calf Mortality in Denali National Park, Alaska",The Journal of Wildlife Management,59,3,584,594,Adams_A,63.32549,-150.63184,1984,1987,1986,Artiodactyla,Cervidae,Rangifer,tarandus,Caribou,109089,7556,1825,2400,1,5510,NA,Juvenile,Illegal,226,117,114,112,104,0,0,0,0,0,0,0,0,0,0,102,0,1,0,0,0,1,0,8,38,0,0,0,37,0,1,0,0,0,0,9,0,0,0,0,0,0,0,17,4,1,1,NA,NA,1,NA,1,3,2,1,0,1,0,0,0,0,1,Dall Sheep,0.36359007,0.008794686,0.153343582,455.793412
3,Aderman,2013,"Population monitoring and Status of the Nushagak Peninsula Caribou Herd, 1988-2012","Togiak National Wildlife Refuge, Dillingham, Alaska",0,0,1,30,Aderman_A,58.83833,-159.3342,1988,2013,2001,Artiodactyla,Cervidae,Rangifer,tarandus,Caribou,109089,7556,1825,2400,1,5510,NA,Adult,Mixed,164,2,162,88,40,28,28,0,0,0,0,0,0,0,0,10,0,0,2,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,1,0,NA,NA,1,NA,1,3,3,1,0,1,1,0,0,0,0,NA,0.216471555,0.000614628,0.029486846,124.7235922
22,Belanger,2019,Habitat Selection and Population Trends of the Torngat Mountains Caribou Herd,Journal of Wildlife Management,93,2,379,392,Belanger_A,58.940223,-64.205703,2011,2016,2014,Artiodactyla,Cervidae,Rangifer,tarandus,Caribou,109089,7556,1825,2400,1,5510,NA,Adult,Legal,35,10,25,24,16,9,9,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,1,NA,NA,1,NA,1,1,1,0,0,1,0,0,0,0,0,NA,0.007395129,0,0.017745823,369.7317674
46,Boertje,2003,Reducing Mortality on the Fortymile Caribou Herd,"AK Dept of Fish and Game, Fed Aid in Fish and Wildlife restoration research performance, grant W-27-3, study 3.43",0,0,1,51,Boertje_B,64.43515,-140.6194,1997,2003,2000,Artiodactyla,Cervidae,Rangifer,tarandus,Caribou,109089,7556,1825,2400,1,5510,NA,Juvenile,Legal,434,NA,NA,231,223,0,0,0,0,0,0,0,0,0,0,211,2,5,3,1,0,1,0,8,76,16,0,0,93,0,7,0,0,0,0,18,0,1,0,0,0,0,0,0,4,1,1,NA,NA,1,NA,1,2,2,1,0,1,0,0,0,0,0,NA,0.816630587,0.033005128,0.498064642,328.5449053
53,Brown,1998,Seasonal distribution and population parameters of woodland caribou in central Manitoba: implications for forestry practices,Rangifer,12,0,85,94,Brown_A,54.9099,-98.62757,1995,1997,1996,Artiodactyla,Cervidae,Rangifer,tarandus,Caribou,109089,7556,1825,2400,1,5510,NA,Adult,Legal,15,0,15,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,NA,NA,1,NA,1,2,2,1,0,1,0,0,0,0,0,NA,0.777339274,0.026970217,0.976267834,6.039161762
77,Courtois,2007,"Effects of forest disturbance on density, space use, and mortality of woodland caribou",Ecoscience,14,4,491,498,Courtois_A,49.51997,-69.79828,1998,2001,2000,Artiodactyla,Cervidae,Rangifer,tarandus,Caribou,109089,7556,1825,2400,1,5510,NA,Adult,Legal,68,0,68,23,19,7,6,1,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,1,NA,NA,1,NA,1,3,3,1,0,1,0,1,0,0,0,NA,0.346232179,0.011961466,0.87528058,95.03647809
104,Edmonds,1988,"Population status, distribution and movements of woodland caribou in west central Alberta",Canadian Journal of Zoology,66,4,817,826,Edmonds_A,54.94883,-118.27062,1979,1984,1982,Artiodactyla,Cervidae,Rangifer,tarandus,Caribou,109089,7556,1825,2400,1,5510,NA,Adult,Illegal,24,12,12,12,12,1,0,1,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,NA,NA,1,NA,0,6,5,1,1,0,1,1,0,1,1,Mountain Goat,5.771395823,0.073403313,0.626265215,50.39781757
122,Fuller,1981,Woodland Caribou Population Dynamics in Northeastern Alberta,The Journal of Wildlife Management,45,1,197,213,Fuller_B,57.51887,-112.24768,1976,1978,1977,Artiodactyla,Cervidae,Rangifer,tarandus,Caribou,109089,7556,1825,2400,1,5510,NA,Adult,Legal,29,20,9,4,3,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,NA,NA,1,NA,1,4,4,1,0,1,1,1,0,0,0,NA,0.415118351,0.014106863,0.990604202,42.79280071
143,Gustine,2006,Calf Survival of Woodland Caribou in a Multi-Predator Ecosystem,Wildlife Monographs,165,1,1,32,Gustine_A,57.18325,-121.84955,2002,2003,2003,Artiodactyla,Cervidae,Rangifer,tarandus,Caribou,109089,7556,1825,2400,1,5510,NA,Juvenile,Illegal,50,19,31,18,18,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,2,0,0,0,0,0,0,0,5,4,1,1,NA,NA,1,NA,1,8,5,1,1,1,1,1,0,0,3,"American Bison, Mountain Goat, Stone Sheep",0.643921069,0.009660206,0.940491643,83.64263457
164,Hearn,1990,Survival of radio-collared caribou from the George River Herd,Canadian Journal of Zoology,68,2,276,283,Hearn_A,53.53773,-68.73583,1983,1987,1985,Artiodactyla,Cervidae,Rangifer,tarandus,Caribou,109089,7556,1825,2400,1,5510,NA,Adult,Legal,175,NA,NA,42,28,8,8,0,0,0,0,0,0,0,0,15,0,1,0,4,0,0,0,14,0,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,NA,NA,1,NA,1,2,2,1,0,1,0,0,0,0,0,NA,0,0,0.004450844,32.22368475
195,Jenkins,2005,Demography and decline of the Mentasa caribou herd in Alaska,Canadian Journal of Zoology,83,9,1174,1188,Jenkins_A,61.71023,-142.98484,1990,1997,1994,Artiodactyla,Cervidae,Rangifer,tarandus,Caribou,109089,7556,1825,2400,1,5510,NA,Juvenile,Illegal,123,59,63,100,89,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,11,27,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,1,1,NA,NA,1,NA,1,3,2,1,0,1,0,0,0,0,1,Dall Sheep,0,0.001439817,0.109957709,538.4042642
